rule_index	rule	grounding
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040101 is_Answer_To M004_01 => 10040101 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040107 is_Answer_To M004_01 => 10040107 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040102 is_Answer_To M004_01 => 10040102 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040110 is_Answer_To M004_01 => 10040110 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040109 is_Answer_To M004_01 => 10040109 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040104 is_Answer_To M004_01 => 10040104 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040108 is_Answer_To M004_01 => 10040108 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040106 is_Answer_To M004_01 => 10040106 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040105 is_Answer_To M004_01 => 10040105 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M004_01 belongsTo ME1 | 10040103 is_Answer_To M004_01 => 10040103 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100108 is_Answer_To M010_01 => 10100108 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100107 is_Answer_To M010_01 => 10100107 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100102 is_Answer_To M010_01 => 10100102 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100106 is_Answer_To M010_01 => 10100106 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100109 is_Answer_To M010_01 => 10100109 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100105 is_Answer_To M010_01 => 10100105 hasAnswerScale_Type Ordinal
Rule_26	?d belongsTo ME1 ?a is_Answer_To ?d => ?a hasAnswerScale_Type Ordinal	M010_01 belongsTo ME1 | 10100110 is_Answer_To M010_01 => 10100110 hasAnswerScale_Type Ordinal
