Body,Head,HeadCoverage,StdConfidence,PCA,PositiveExamples,Bodysize,PCABodysize,Functionalvariable
?b  hasUserId  ?a   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
?b  hasAnswerId  ?a   , ?a  hasAnswerId  ?b,1,1,1,271,271,271,?a
?a  hasVisitId  ?b   , ?a  answeredByUser  ?b,1,1,1,3154,3154,3154,?a
?a  answerType  ?b   , ?a  type  ?b,0.06582463,1,1,271,271,271,?a
?a  answeredByUser  ?b   , ?a  hasVisitId  ?b,1,1,1,3154,3154,3154,?a
?a  ResponseCode  ?e  ?e  hasPlatformId  ?b   , ?a  ResponseCode  ?b,0.148698885,1,1,40,40,40,?a
?a  hasAnswerId  ?f  ?f  type  ?b   , ?a  answerType  ?b,1,0.5,0.5,271,542,542,?a
?e  hasAnswerId  ?a  ?e  type  ?b   , ?a  answerType  ?b,1,0.5,0.5,271,542,542,?a
?a  ResponseCode  ?f  ?b  hasPlatformId  ?f   , ?a  ResponseCode  ?b,0.148698885,1,1,40,40,40,?a
?a  isAnswerTo  ?f  ?b  isAnswerTo  ?f   , ?a  hasAnswerId  ?b,1,0.142257218,0.142257218,271,1905,1905,?a
?f  ResponseCode  ?b  ?a  hasAnswerId  ?f   , ?a  ResponseCode  ?b,1,1,1,269,269,269,?a
?e  answerType  ?b  ?e  hasAnswerId  ?a   , ?a  answerType  ?b,1,1,1,271,271,271,?a
?f  answerType  ?b  ?a  hasAnswerId  ?f   , ?a  answerType  ?b,1,1,1,271,271,271,?a
?e  hasAnswerCategory  ?b  ?e  hasAnswerId  ?a   , ?a  hasAnswerCategory  ?b,1,1,1,271,271,271,?a
?f  hasAnswerCategory  ?b  ?a  hasAnswerId  ?f   , ?a  hasAnswerCategory  ?b,1,1,1,271,271,271,?a
?f  hasAnswerId  ?b  ?a  hasAnswerId  ?f   , ?a  hasAnswerId  ?b,1,1,1,271,271,271,?a
?e  ResponseCode  ?b  ?e  hasAnswerId  ?a   , ?a  ResponseCode  ?b,1,1,1,269,269,269,?a
?b  subClassOf  ?f  ?a  type  ?f   , ?a  answerType  ?b,1,0.201486989,0.25,271,1345,1084,?a
?a  ResponseLabel  ?f  ?b  ResponseLabel  ?f   , ?a  hasAnswerId  ?b,1,0.101460127,0.101460127,271,2671,2671,?a
?f  ResponseLabel  ?b  ?a  hasAnswerId  ?f   , ?a  ResponseLabel  ?b,1,1,1,501,501,501,?a
?b  hasQuestionId  ?f  ?a  isAnswerTo  ?f   , ?a  isAnswerTo  ?b,1,1,1,271,271,271,?a
?f  hasQuestionId  ?b  ?a  isAnswerTo  ?f   , ?a  isAnswerTo  ?b,1,1,1,271,271,271,?a
?a  label  ?f  ?b  label  ?f   , ?a  hasUserId  ?b,1,0.985559567,1,273,277,273,?a
?a  hasAnswerId  ?f  ?b  hasAnswerId  ?f   , ?a  hasAnswerId  ?b,1,1,1,271,271,271,?a
?e  ResponseLabel  ?b  ?e  hasAnswerId  ?a   , ?a  ResponseLabel  ?b,1,1,1,501,501,501,?a
?f  hasAnswerId  ?a  ?b  hasAnswerId  ?f   , ?a  hasAnswerId  ?b,1,1,1,271,271,271,?a
?a  hasAnswerId  ?f  ?f  isAnswerTo  ?b   , ?a  isAnswerTo  ?b,1,1,1,271,271,271,?a
?e  hasAnswerId  ?a  ?e  isAnswerTo  ?b   , ?a  isAnswerTo  ?b,1,1,1,271,271,271,?a
?a  hasUserId  ?f  ?b  hasUserId  ?f   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
?e  hasAnswer  ?a  ?e  rawResponseValue  ?b   , ?a  ResponseCode  ?b,0.843866171,0.603723404,0.606951872,227,376,374,?a
?f  hasUserId  ?a  ?b  hasUserId  ?f   , ?a  hasUserId  ?b,1,1,1,273,273,273,?a
